,code,value
791,gb_ttm,11029672014.0
792,gb_stwd,5777204303.0
793,gb_unam,37946000.0
794,gb_fis,35575880000.0
795,gb_skyw,3219030874.0
796,gb_wab,10623706693.0
797,gb_hst,15461819999.0
798,gb_edap,88733574.0
799,gb_irix,95876748.0
800,gb_vmi,3134906760.0
801,gb_ts,19626424798.0
802,gb_mfa,3088630750.0
803,gb_oc,6446617000.0
805,gb_hcp,12718288327.0
806,gb_pty,1453491864.0
807,gb_db,23112078000.0
808,gb_htz,1768200000.0
809,gb_calm,2409666050.0
810,gb_bks,432285350.0
812,gb_bms,4521790000.0
814,gb_mlm,12788915520.0
815,gb_fds,8514083911.0
816,gb_pld,36131278250.0
817,gb_arii,897705621.0
818,gb_msm,4982310352.0
819,gb_rock,1450655800.0
820,gb_ssbi,94182024.0
821,gb_tdf,691961044.0
822,gb_are,13270674883.0
823,gb_lmt,92331717218.0
824,gb_ph,22616399213.0
825,gb_axas,361763325.0
826,gb_nyt,3874906234.0
827,gb_brc,1984397394.0
828,gb_stc,1072083995.0
829,gb_ssd,3382640400.0
830,gb_reis,218667178.0
831,gb_ca,18066532638.0
832,gb_mmm,121469389747.0
833,gb_dco,443519322.0
835,gb_msd,181302946.0
836,gb_bbox,25739130.0
837,gb_srt,107256451.0
838,gb_simo,2067011750.0
839,gb_cli,1938446173.0
840,gb_mchp,19428288825.0
841,gb_bfs,1319720736.0
842,gb_ba,204334457134.0
844,gb_usat,839884136.0
845,gb_bgy,632484200.0
846,gb_iff,10568479212.0
847,gb_ufpi,2309982389.0
848,gb_kex,5134195500.0
849,gb_de,45571708373.0
850,gb_vgr,2221583897.0
851,gb_arci,4944871.0
853,gb_fhn,6074312667.0
854,gb_mhk,14212427020.0
855,gb_lii,9069161544.0
856,gb_inap,273528960.0
857,gb_dnkn,6023932328.0
858,gb_cbsh,7614186907.0
859,gb_snh,4512855401.0
860,gb_ent,244639970.0
861,gb_fele,2278279850.0
862,gb_atvi,52536092178.0
863,gb_noah,2542863071.0
864,gb_kbr,2924993094.0
865,gb_lstr,4715408209.0
866,gb_ckh,927766326.0
867,gb_aray,331637232.0
868,gb_odp,1851874145.0
869,gb_ap,96180700.0
870,gb_mnov,376074075.0
873,gb_cuba,39930126.0
874,gb_dhx,110173149.0
875,gb_mov,1146409214.0
876,gb_htld,1654521140.0
877,gb_pcar,24034128000.0
878,gb_onb,3024167350.0
879,gb_rost,34762225884.0
880,gb_pbct,6519913000.0
881,gb_efc,506524855.0
882,gb_mos,11471226568.0
883,gb_env,2706654182.0
884,gb_wsr,536939129.0
885,gb_pdm,2587957606.0
886,gb_bg,9002828226.0
887,gb_mms,4174835040.0
888,gb_nok,29334658500.0
889,gb_erf,3040251440.0
890,gb_siri,31176129300.0
891,gb_oxy,60417481601.0
892,gb_ti,144520995512.0
893,gb_mac,8290344151.0
894,gb_cat,82415101553.0
895,gb_aig,47376937994.0
896,gb_sup,566515684.0
897,gb_dish,16381767122.0
898,gb_phd,271872818.0
899,gb_rfil,100593603.0
900,gb_itt,5392656000.0
901,gb_aet,65322848000.0
902,gb_crs,2680962976.0
903,gb_thg,5543700000.0
904,gb_kar,8506764790.0
905,gb_cb,62503266815.0
906,gb_eqm,4822160932.0
907,gb_lxp,2211773703.0
908,gb_cmcsa,162701652802.0
909,gb_aph,28323246596.0
910,gb_cpb,12696180000.0
911,gb_hmn,1892611453.0
912,gb_cir,882307148.0
913,gb_ntrs,24212676873.0
914,gb_chh,4338134219.0
915,gb_becn,2694238270.0
916,gb_hum,44964598410.0
917,gb_atr,6387606000.0
918,gb_jhx,7139444988.0
919,gb_l,15849211227.0
920,gb_flr,8019891450.0
922,gb_mxim,16870318560.0
923,gb_cbs,25035550853.0
924,gb_kra,1475684080.0
925,gb_cobz,951231039.0
926,gb_ayr,1654078963.0
927,gb_ufcs,1282751989.0
928,gb_chw,531063000.0
929,gb_sig,3771040000.0
930,gb_nksh,327720575.0
931,gb_blmn,1789581229.0
932,gb_m,11730470000.0
934,gb_utx,108120037856.0
935,gb_rbs,37538596500.0
936,gb_cpix,86606134.0
937,gb_iphs,856590509.0
938,gb_gim,820961280.0
939,gb_rdc,1708074000.0
940,gb_kss,13246799999.0
941,gb_hpt,4741894100.0
942,gb_bldr,1918445830.0
943,gb_awi,3596590112.0
944,gb_cce,20698478640.0
945,gb_genc,184432256.0
946,gb_ht,868311602.0
947,gb_czwi,82209868.0
948,gb_lion,651787134.0
949,gb_gg,9379466460.0
950,gb_gef,3104029974.0
951,gb_pgr,38970064975.0
953,gb_ego,766142923.0
955,gb_avy,9459677209.0
956,gb_ddd,2337376020.0
957,gb_itri,2480468850.0
958,gb_fisv,32321499000.0
959,gb_dnb,5273023000.0
960,gb_cprx,288303914.0
961,gb_bpt,632370000.0
962,gb_stkl,714578430.0
963,gb_pkd,32339275.0
965,gb_nrg,10371213644.0
966,gb_ivz,10105680000.0
967,gb_dri,14123460000.0
968,gb_eat,1976914552.0
969,gb_byd,4109383333.0
970,gb_ryn,4587752937.0
971,gb_shbi,241049211.0
972,gb_pei,759451000.0
973,gb_osk,5162789563.0
974,gb_emr,47470217325.0
975,gb_dre,10239949220.0
976,gb_bdn,3007699325.0
977,gb_pcn,717723984.0
978,gb_eca,11944187000.0
979,gb_orcl,197665444776.0
980,gb_agco,4772372606.0
981,gb_ucbi,2465934159.0
982,gb_hmc,53369175864.0
983,gb_vfc,36726978554.0
984,gb_cinf,12380364000.0
985,gb_exr,11969999158.0
987,gb_ggg,7787518500.0
988,gb_nsl,236752247.0
989,gb_syk,63168600000.0
990,gb_trow,28135926000.0
991,gb_phiik,130917414.0
992,gb_utf,2020372864.0
993,gb_gpic,68647533.0
995,gb_paa,19801152947.0
996,gb_nvmi,753055673.0
997,gb_rtec,854939322.0
998,gb_viab,12500131000.0
999,gb_gnw,2294580000.0
1000,gb_gci,1245397063.0
1002,gb_bma,3012305126.0
1003,gb_wts,2843255492.0
1004,gb_acxm,3438814219.0
1005,gb_giii,2184359320.0
1006,gb_lark,121825174.0
1007,gb_loan,53577579.0
1008,gb_aste,1074794760.0
1009,gb_peo,558136425.0
1010,gb_h,8696016956.0
1011,gb_sprt,51036285.0
1012,gb_smi,4779832200.0
1014,gb_chsp,1955624519.0
1015,gb_ec,42699589100.0
1017,gb_rl,11418402000.0
1018,gb_acm,5323789503.0
1019,gb_cii,757123224.0
1020,gb_gpn,18856301996.0
