,_id,amount,classtype,close,date,high,low,market,open,stock_code,time,volume
830,5b4468c1ae17be1640b1cab0,34764,kline_min1,7.37,2018-06-08,7.41,7.37,0,7.41,002534,931,4700
832,5b4468c1ae17be1640b2227b,81979,kline_min1,4.13,2018-06-08,4.15,4.13,0,4.15,002535,931,19800
835,5b4468c2ae17be1640b2798e,86915,kline_min1,12.05,2018-06-08,12.12,12.05,0,12.1,002536,931,7200
836,5b4468c2ae17be1640b2d155,89403,kline_min1,9.8,2018-06-08,9.84,9.8,0,9.84,002537,931,9100
838,5b4468c2ae17be1640b3297c,45217,kline_min1,6.75,2018-06-08,6.75,6.71,0,6.75,002538,931,6700
839,5b4468c3ae17be1640b3759c,269825,kline_min1,5.13,2018-06-08,5.15,5.13,0,5.15,002539,931,52500
840,5b4468c3ae17be1640b3c872,1074611,kline_min1,7.01,2018-06-08,7.08,6.9,0,6.9,002540,931,154500
844,5b4468fbae17be1640b41a07,317206,kline_min1,14.08,2018-06-08,14.18,14.08,0,14.18,002541,931,22500
846,5b4468fcae17be1640b46edb,2762801,kline_min1,6.93,2018-06-08,6.97,6.85,0,6.97,002542,931,396900
847,5b4468fcae17be1640b4c896,323062,kline_min1,23.44,2018-06-08,23.44,23.37,0,23.4,002543,931,13800
850,5b4468fcae17be1640b521f0,233450,kline_min1,14.77,2018-06-08,14.8,14.77,0,14.77,002544,931,15800
852,5b4468fcae17be1640b57bcd,385149,kline_min1,7.24,2018-06-08,7.25,7.2,0,7.2,002545,931,53400
853,5b4468fdae17be1640b5c7c5,586191,kline_min1,4.07,2018-06-08,4.09,4.07,0,4.09,002546,931,143400
856,5b4468fdae17be1640b61fce,489066,kline_min1,8.86,2018-06-08,8.88,8.85,0,8.88,002547,931,55200
858,5b4468fdae17be1640b676a0,966317,kline_min1,8.93,2018-06-08,9.07,8.93,0,9.06,002548,931,106900
859,5b4468fdae17be1640b6c66d,717318,kline_min1,5.85,2018-06-08,5.92,5.8,0,5.92,002549,931,121800
860,5b4468feae17be1640b71b16,937505,kline_min1,6.14,2018-06-08,6.19,6.11,0,6.19,002550,931,152100
863,5b446936ae17be1640b77302,237477,kline_min1,7.23,2018-06-08,7.27,7.23,0,7.27,002551,931,32700
865,5b446937ae17be1640b7c5a5,53388,kline_min1,5.74,2018-06-08,5.75,5.74,0,5.75,002552,931,9300
867,5b446937ae17be1640b80e7e,15480,kline_min1,7.74,2018-06-08,7.74,7.74,0,7.74,002553,931,2000
870,5b446937ae17be1640b861f6,2807646,kline_min1,3.8,2018-06-08,3.81,3.76,0,3.76,002554,931,741500
872,5b446937ae17be1640b8bb6f,1237740,kline_min1,13.25,2018-06-08,13.4,13.25,0,13.4,002555,931,92900
873,5b446938ae17be1640b9157e,718471,kline_min1,5.75,2018-06-08,5.77,5.75,0,5.76,002556,931,124900
876,5b446938ae17be1640b96992,447795,kline_min1,17.69,2018-06-08,17.87,17.69,0,17.87,002557,931,25200
878,5b446938ae17be1640b9c294,813547,kline_min1,24.08,2018-06-08,24.1,24.06,0,24.06,002558,931,33800
879,5b446938ae17be1640ba1c2e,77317,kline_min1,8.58,2018-06-08,8.6,8.57,0,8.6,002559,931,9000
880,5b446938ae17be1640ba6d09,317907,kline_min1,7.36,2018-06-08,7.36,7.3,0,7.31,002560,931,43500
883,5b446973ae17be1640bac18d,58922,kline_min1,10.14,2018-06-08,10.16,10.14,0,10.16,002561,931,5800
886,5b446973ae17be1640bb1593,375202,kline_min1,6.49,2018-06-08,6.49,6.46,0,6.49,002562,931,57900
888,5b446973ae17be1640bb70cf,949823,kline_min1,13.69,2018-06-08,13.69,13.61,0,13.69,002563,931,69600
890,5b446973ae17be1640bbc956,210563,kline_min1,7.12,2018-06-08,7.19,7.12,0,7.19,002564,931,29500
891,5b446973ae17be1640bc20c3,127905,kline_min1,5.49,2018-06-08,5.55,5.49,0,5.5,002565,931,23200
894,5b446974ae17be1640bc6db7,48282,kline_min1,8.18,2018-06-08,8.2,8.18,0,8.2,002566,931,5900
895,5b446974ae17be1640bcc38b,409036,kline_min1,5.42,2018-06-08,5.46,5.41,0,5.46,002567,931,75300
896,5b446974ae17be1640bd1dd0,380377,kline_min1,15.85,2018-06-08,15.99,15.85,0,15.85,002568,931,23900
897,5b446975ae17be1640bdc782,140652,kline_min1,4.81,2018-06-08,4.82,4.81,0,4.81,002570,931,29200
901,5b4469b0ae17be1640be1afc,52587,kline_min1,6.81,2018-06-08,6.81,6.73,0,6.74,002571,931,7800
902,5b4469b0ae17be1640be67b4,2039434,kline_min1,36.78,2018-06-08,36.78,36.33,0,36.33,002572,931,55600
904,5b4469b0ae17be1640beb412,1684976,kline_min1,13.03,2018-06-08,13.06,13.03,0,13.06,002573,931,129200
907,5b4469b0ae17be1640bf1729,67792,kline_min1,6.59,2018-06-08,6.6,6.57,0,6.6,002574,931,10300
908,5b4469b0ae17be1640bf6b68,575538,kline_min1,4.8,2018-06-08,4.83,4.8,0,4.83,002575,931,119800
910,5b4469b1ae17be1640bfa6ec,479707,kline_min1,10.6,2018-06-08,10.62,10.52,0,10.52,002576,931,45300
912,5b4469b1ae17be1640bffbaa,658671,kline_min1,15.67,2018-06-08,15.84,15.65,0,15.84,002577,931,41900
914,5b4469b1ae17be1640c05097,48393,kline_min1,3.84,2018-06-08,3.85,3.84,0,3.85,002578,931,12600
915,5b4469b1ae17be1640c09c9b,218073,kline_min1,8.8,2018-06-08,8.8,8.71,0,8.71,002579,931,24900
916,5b4469b2ae17be1640c0ef74,13564,kline_min1,5.88,2018-06-08,5.9,5.88,0,5.9,002580,931,2300
920,5b4469e9ae17be1640c11f93,158736,kline_min1,13.44,2018-06-08,13.5,13.43,0,13.43,002581,931,11800
